Time,Volts,Measure
40.100,0.10,545
40.200,0.10,544
40.300,0.10,543
40.400,0.10,546
40.500,0.10,545
40.600,0.10,544
40.700,0.10,548
40.800,0.10,543
40.900,0.10,546
41.000,0.10,546
41.100,0.10,544
41.200,0.10,546
41.300,0.10,544
41.400,0.10,545
41.500,0.10,547
41.600,0.10,544
41.700,0.10,542
41.800,0.10,545
41.900,0.10,546
42.000,0.10,545
42.100,0.10,544
42.200,0.10,539
42.300,0.10,544
42.400,0.10,545
42.500,0.10,545
42.600,0.10,546
42.700,0.10,545
42.800,0.10,546
42.900,0.10,544
43.000,0.10,546
43.100,0.10,546
43.200,0.10,544
43.300,0.10,539
43.400,0.10,543
43.500,0.10,545
43.600,0.10,546
43.700,0.10,544
43.800,0.10,534
43.900,0.10,543
44.000,0.10,546
44.100,0.10,545
44.200,0.10,544
44.300,0.10,544
44.400,0.10,544
44.500,0.10,543
44.600,0.10,545
44.700,0.10,544
44.800,0.10,543
44.900,0.10,545
45.000,0.10,544
45.100,0.10,544
45.200,0.10,545
45.300,0.10,544
45.400,0.10,544
45.500,0.10,543
45.600,0.10,547
45.700,0.10,545
45.800,0.10,544
45.900,0.10,540
46.000,0.10,544
46.100,0.10,544
46.200,0.10,545
46.300,0.10,544
46.400,0.10,538
46.500,0.10,544
46.600,0.10,545
46.700,0.10,544
46.800,0.10,543
46.900,0.10,548
47.000,0.10,543
47.100,0.10,544
47.200,0.10,542
47.300,0.10,543
47.400,0.10,546
47.500,0.10,545
47.600,0.10,544
47.700,0.10,545
47.800,0.10,546
47.900,0.10,545
48.000,0.10,542
48.100,0.10,544
48.200,0.10,546
48.300,0.10,545
48.400,0.10,545
48.500,0.10,543
48.600,0.10,543
48.700,0.10,544
48.800,0.10,545
48.900,0.10,543
49.000,0.10,540
49.100,0.10,544
49.200,0.10,545
49.300,0.10,545
49.400,0.10,544
49.500,0.10,546
49.600,0.10,546
49.700,0.10,544
49.800,0.10,545
49.900,0.10,544
50.000,0.10,546
50.100,0.10,544
50.200,0.10,543
50.300,0.10,545
50.400,0.10,546
50.500,0.10,543
50.600,0.10,538
50.700,0.10,544
50.800,0.10,544
50.900,0.10,544
51.000,0.10,543
51.100,0.10,538
51.200,0.10,544
51.300,0.10,545
51.400,0.10,545
51.500,0.10,544
51.600,0.10,540
51.700,0.10,546
51.800,0.10,545
51.900,0.10,544
52.000,0.10,542
52.100,0.10,542
52.200,0.10,545
52.300,0.10,544
52.400,0.10,544
52.500,0.10,543
52.600,0.10,544
52.700,0.10,546
52.800,0.10,543
52.900,0.10,545
53.000,0.10,545
53.100,0.10,545
53.200,0.10,540
53.300,0.10,544
53.400,0.10,544
53.500,0.10,545
53.600,0.10,544
53.700,0.10,538
53.800,0.10,545
53.900,0.10,545
54.000,0.10,546
54.100,0.10,543
54.200,0.10,544
54.300,0.10,544
54.400,0.10,545
54.500,0.10,545
54.600,0.10,543
54.700,0.10,540
54.800,0.10,543
54.900,0.10,544
55.000,0.10,544
55.100,0.10,545
55.200,0.10,545
55.300,0.10,545
55.400,0.10,545
55.500,0.10,549
55.600,0.10,544
55.700,0.10,544
55.800,0.10,547
55.900,0.10,544
56.000,0.10,546
56.100,0.10,545
56.200,0.10,544
56.300,0.10,541
56.400,0.10,544
56.500,0.10,545
56.600,0.10,546
56.700,0.10,545
56.800,0.10,536
56.900,0.10,544
57.000,0.10,544
57.100,0.10,545
57.200,0.10,543
57.300,0.10,551
57.400,0.10,545
57.500,0.10,545
57.600,0.10,538
57.700,0.10,544
57.800,0.10,546
57.900,0.10,544
58.000,0.10,543
58.100,0.10,545
58.200,0.10,544
58.300,0.10,543
58.400,0.10,545
58.500,0.10,542
58.600,0.10,540
58.700,0.10,544
58.800,0.10,544
58.900,0.10,545
59.000,0.10,543
59.100,0.10,545
59.200,0.10,546
59.300,0.10,545
59.400,0.10,544
59.500,0.10,542
59.600,0.10,546
59.700,0.10,546
59.800,0.10,543
59.900,0.10,546
60.000,0.10,543
60.100,0.10,544
60.200,0.10,544
60.300,0.10,543
60.400,0.10,548
60.500,0.10,544
60.600,0.10,544
60.700,0.10,546
60.800,0.10,544
60.900,0.10,543
61.000,0.10,545
61.100,0.10,545
61.200,0.10,534
61.300,0.10,545
61.400,0.10,546
61.500,0.10,544
61.600,0.10,544
61.700,0.10,540
61.800,0.10,543
61.900,0.10,545
62.000,0.10,545
62.100,0.10,544
62.200,0.10,538
62.300,0.10,544
62.400,0.10,545
62.500,0.10,545
62.600,0.10,544
62.700,0.10,543
62.800,0.10,545
62.900,0.10,546
63.000,0.10,540
63.100,0.10,543
63.200,0.10,545
63.300,0.10,545
63.400,0.10,544
63.500,0.10,544
63.600,0.10,544
63.700,0.10,545
63.800,0.10,545
63.900,0.10,544
64.000,0.10,542
64.100,0.10,544
64.200,0.10,545
64.300,0.10,545
64.400,0.10,543
64.500,0.10,546
64.600,0.10,544
64.700,0.10,545
64.800,0.10,544
64.900,0.10,543
65.000,0.10,541
65.100,0.10,546
65.200,0.10,545
65.300,0.10,543
65.400,0.10,543
65.500,0.10,546
65.600,0.10,546
65.700,0.10,545
65.800,0.10,546
65.900,0.10,544
66.000,0.10,546
66.100,0.10,547
66.200,0.10,544
66.300,0.10,538
66.400,0.10,545
66.500,0.10,544
66.600,0.10,546
66.700,0.10,544
66.800,0.10,532
66.900,0.10,544
67.000,0.10,545
67.100,0.10,545
67.200,0.10,544
67.300,0.10,543
67.400,0.10,546
67.500,0.10,545
67.600,0.10,545
67.700,0.10,543
67.800,0.10,547
67.900,0.10,544
68.000,0.10,545
68.100,0.10,545
68.200,0.10,543
68.300,0.10,546
68.400,0.10,545
68.500,0.10,545
68.600,0.10,543
68.700,0.10,544
68.800,0.10,546
68.900,0.10,545
69.000,0.10,542
69.100,0.10,540
69.200,0.10,544
69.300,0.10,544
69.400,0.10,545
69.500,0.10,545
69.600,0.10,540
69.700,0.10,544
69.800,0.10,545
69.900,0.10,540
70.000,0.10,544
70.100,0.10,547
70.200,0.10,545
70.300,0.10,543
70.400,0.10,545
70.500,0.10,543
70.600,0.10,546
70.700,0.10,543
70.800,0.10,545
70.900,0.10,544
71.000,0.10,543
71.100,0.10,543
71.200,0.10,544
71.300,0.10,545
71.400,0.10,544
71.500,0.10,543
71.600,0.10,546
71.700,0.10,544
71.800,0.10,544
71.900,0.10,542
72.000,0.10,546
72.100,0.10,545
72.200,0.10,544
72.300,0.10,544
72.400,0.10,538
72.500,0.10,543
72.600,0.10,543
72.700,0.10,544
72.800,0.10,543
72.900,0.10,543
73.000,0.10,543
73.100,0.10,544
73.200,0.10,545
73.300,0.10,543
73.400,0.10,547
73.500,0.10,545
73.600,0.10,544
73.700,0.10,541
73.800,0.10,544
73.900,0.10,548
74.000,0.10,545
74.100,0.10,545
74.200,0.10,544
74.300,0.10,543
74.400,0.10,545
74.500,0.10,544
74.600,0.10,544
74.700,0.10,539
74.800,0.10,545
74.900,0.10,545
75.000,0.10,544
75.100,0.10,544
75.200,0.10,544
75.300,0.10,543
75.400,0.10,546
75.500,0.10,545
75.600,0.10,543
75.700,0.10,546
75.800,0.10,546
75.900,0.10,544
76.000,0.10,544
76.100,0.10,543
76.200,0.10,544
76.300,0.10,546
76.400,0.10,544
76.500,0.10,547
76.600,0.10,543
76.700,0.10,545
76.800,0.10,546
76.900,0.10,545
77.000,0.10,544
77.100,0.10,544
77.200,0.10,544
77.300,0.10,545
77.400,0.10,544
77.500,0.10,538
77.600,0.10,543
77.700,0.10,546
77.800,0.10,545
77.900,0.10,545
78.000,0.10,544
78.100,0.10,546
78.200,0.10,547
78.300,0.10,544
78.400,0.10,543
78.500,0.10,541
78.600,0.10,544
78.700,0.10,543
78.800,0.10,545
78.900,0.10,545
79.000,0.10,537
79.100,0.10,544
79.200,0.10,545
79.300,0.10,545
79.400,0.10,543
79.500,0.10,547
79.600,0.10,545
79.700,0.10,544
79.800,0.10,544
79.900,0.10,544
80.000,0.10,546
80.100,0.10,544
80.200,0.10,543
80.300,0.10,545
80.400,0.10,543
80.500,0.10,548
80.600,0.10,544
80.700,0.10,544
80.800,0.10,544
80.900,0.10,543
81.000,0.10,544
81.100,0.10,545
81.200,0.10,545
81.300,0.10,543
81.400,0.10,544
81.500,0.10,545
81.600,0.10,546
81.700,0.10,544
81.800,0.10,544
81.900,0.10,543
82.000,0.10,546
82.100,0.10,546
82.200,0.10,544
82.300,0.10,539
82.400,0.10,544
82.500,0.10,546
82.600,0.10,545
82.700,0.10,545
82.800,0.10,541
82.900,0.10,543
83.000,0.10,545
83.100,0.10,544
83.200,0.10,543
83.300,0.10,547
83.400,0.10,544
83.500,0.10,544
83.600,0.10,544
83.700,0.10,544
83.800,0.10,545
83.900,0.10,545
84.000,0.10,544
84.100,0.10,545
84.200,0.10,543
84.300,0.10,548
84.400,0.10,545
84.500,0.10,544
84.600,0.10,544
84.700,0.10,543
84.800,0.10,545
84.900,0.10,545
85.000,0.10,544
85.100,0.10,543
85.200,0.10,544
85.300,0.10,545
85.400,0.10,546
85.500,0.10,544
85.600,0.10,540
85.700,0.10,545
85.800,0.10,544
85.900,0.10,545
86.000,0.10,543
86.100,0.10,543
86.200,0.10,545
86.300,0.10,544
86.400,0.10,544
86.500,0.10,543
86.600,0.10,548
86.700,0.10,545
86.800,0.10,545
86.900,0.10,544
87.000,0.10,544
87.100,0.10,544
87.200,0.10,544
87.300,0.10,545
87.400,0.10,544
87.500,0.10,543
87.600,0.10,543
87.700,0.10,546
87.800,0.10,543
87.900,0.10,542
88.000,0.10,545
88.100,0.10,546
88.200,0.10,545
88.300,0.10,544
88.400,0.10,542
88.500,0.10,544
88.600,0.10,544
88.700,0.10,546
88.800,0.10,543
88.900,0.10,539
89.000,0.10,545
89.100,0.10,543
89.200,0.10,544
89.300,0.10,543
89.400,0.10,547
89.500,0.10,545
89.600,0.10,546
89.700,0.10,543
89.800,0.10,543
89.900,0.10,544
